upstream_camera,downstream_camera,upstream_time,downstream_time,propagation_lag_min,upstream_state,downstream_state,state_increase,sequence_id
2701,2704,2025-10-15 06:10:00,2025-10-15 06:15:00,5,0,1,1,1
2701,2704,2025-10-15 06:25:00,2025-10-15 06:30:00,5,0,1,1,1
2701,2704,2025-10-15 06:30:00,2025-10-15 06:35:00,5,0,1,1,1
2701,2704,2025-10-15 06:35:00,2025-10-15 06:40:00,5,0,1,1,1
2701,2704,2025-10-15 06:40:00,2025-10-15 06:45:00,5,0,1,1,1
2701,2704,2025-10-15 06:45:00,2025-10-15 06:50:00,5,0,1,1,1
2701,2704,2025-10-15 06:50:00,2025-10-15 06:55:00,5,0,1,1,1
2701,2704,2025-10-15 06:55:00,2025-10-15 07:00:00,5,0,1,1,1
2701,2704,2025-10-15 07:00:00,2025-10-15 07:05:00,5,0,1,1,1
2701,2704,2025-10-15 07:05:00,2025-10-15 07:10:00,5,0,1,1,1
2701,2704,2025-10-15 07:10:00,2025-10-15 07:15:00,5,0,1,1,1
2701,2704,2025-10-15 07:15:00,2025-10-15 07:20:00,5,0,1,1,1
2701,2704,2025-10-15 07:20:00,2025-10-15 07:25:00,5,0,1,1,1
2701,2704,2025-10-15 07:25:00,2025-10-15 07:30:00,5,0,1,1,1
2701,2704,2025-10-15 07:30:00,2025-10-15 07:35:00,5,0,1,1,1
2701,2704,2025-10-15 07:35:00,2025-10-15 07:40:00,5,0,1,1,1
2701,2704,2025-10-15 07:40:00,2025-10-15 07:45:00,5,0,1,1,1
2701,2704,2025-10-15 07:45:00,2025-10-15 07:50:00,5,0,1,1,1
2701,2704,2025-10-15 07:50:00,2025-10-15 07:55:00,5,0,1,1,1
2701,2704,2025-10-15 07:55:00,2025-10-15 08:00:00,5,0,1,1,1
2701,2704,2025-10-15 21:55:00,2025-10-15 22:00:00,5,0,3,3,2
2701,2704,2025-10-15 22:00:00,2025-10-15 22:05:00,5,0,3,3,2
2701,2704,2025-10-15 22:05:00,2025-10-15 22:10:00,5,0,3,3,2
2701,2704,2025-10-15 22:10:00,2025-10-15 22:15:00,5,0,3,3,2
2701,2704,2025-10-15 22:15:00,2025-10-15 22:20:00,5,0,3,3,2
2701,2704,2025-10-15 22:20:00,2025-10-15 22:25:00,5,0,3,3,2
2701,2704,2025-10-15 22:25:00,2025-10-15 22:30:00,5,0,3,3,2
2701,2704,2025-10-15 22:30:00,2025-10-15 22:35:00,5,0,3,3,2
2701,2704,2025-10-15 22:35:00,2025-10-15 22:40:00,5,0,3,3,2
2701,2704,2025-10-15 22:40:00,2025-10-15 22:45:00,5,0,3,3,2
2701,2704,2025-10-15 22:45:00,2025-10-15 22:50:00,5,0,3,3,2
2701,2704,2025-10-15 22:50:00,2025-10-15 22:55:00,5,0,3,3,2
2701,2704,2025-10-15 22:55:00,2025-10-15 23:00:00,5,0,3,3,2
2701,2704,2025-10-15 23:00:00,2025-10-15 23:05:00,5,0,3,3,2
2701,2704,2025-10-15 23:05:00,2025-10-15 23:10:00,5,0,3,3,2
2701,2704,2025-10-15 23:10:00,2025-10-15 23:15:00,5,0,3,3,2
2701,2704,2025-10-15 23:15:00,2025-10-15 23:20:00,5,0,3,3,2
2701,2704,2025-10-15 23:20:00,2025-10-15 23:25:00,5,0,3,3,2
2701,2704,2025-10-16 05:30:00,2025-10-16 05:35:00,5,0,1,1,3
2701,2704,2025-10-16 05:35:00,2025-10-16 05:40:00,5,0,1,1,3
2701,2704,2025-10-16 05:40:00,2025-10-16 05:45:00,5,0,1,1,3
2701,2704,2025-10-16 05:45:00,2025-10-16 05:50:00,5,0,1,1,3
2701,2704,2025-10-16 05:50:00,2025-10-16 05:55:00,5,0,1,1,3
2701,2704,2025-10-16 05:55:00,2025-10-16 06:00:00,5,0,1,1,3
2701,2704,2025-10-16 06:00:00,2025-10-16 06:05:00,5,0,1,1,3
2701,2704,2025-10-16 06:05:00,2025-10-16 06:10:00,5,0,1,1,3
2701,2704,2025-10-16 06:10:00,2025-10-16 06:15:00,5,0,1,1,3
2701,2704,2025-10-16 06:15:00,2025-10-16 06:20:00,5,0,1,1,3
2701,2704,2025-10-16 06:20:00,2025-10-16 06:25:00,5,0,1,1,3
2701,2704,2025-10-16 06:25:00,2025-10-16 06:30:00,5,0,1,1,3
2701,2704,2025-10-16 06:30:00,2025-10-16 06:35:00,5,0,1,1,3
2701,2704,2025-10-16 06:35:00,2025-10-16 06:40:00,5,0,1,1,3
2701,2704,2025-10-16 06:40:00,2025-10-16 06:45:00,5,0,1,1,3
2701,2704,2025-10-16 06:45:00,2025-10-16 06:50:00,5,0,1,1,3
2701,2704,2025-10-16 06:50:00,2025-10-16 06:55:00,5,0,1,1,3
2701,2704,2025-10-16 06:55:00,2025-10-16 07:00:00,5,0,1,1,3
2701,2704,2025-10-16 07:00:00,2025-10-16 07:05:00,5,0,1,1,3
2701,2704,2025-10-16 07:05:00,2025-10-16 07:10:00,5,0,1,1,3
2701,2704,2025-10-16 07:10:00,2025-10-16 07:15:00,5,0,1,1,3
2701,2704,2025-10-16 07:15:00,2025-10-16 07:20:00,5,0,1,1,3
2701,2704,2025-10-16 07:20:00,2025-10-16 07:25:00,5,0,1,1,3
2701,2704,2025-10-16 07:25:00,2025-10-16 07:30:00,5,0,1,1,3
2701,2704,2025-10-16 07:30:00,2025-10-16 07:35:00,5,0,1,1,3
2701,2704,2025-10-16 07:35:00,2025-10-16 07:40:00,5,0,1,1,3
2701,2704,2025-10-16 07:40:00,2025-10-16 07:45:00,5,0,1,1,3
2701,2704,2025-10-16 07:45:00,2025-10-16 07:50:00,5,0,1,1,3
